,year,date,Average_temperature,Average_humidity,Average_dewpoint,Average_barometer,Average_windspeed,Average_gustspeed,Average_direction,Rainfall_for_month,Rainfall_for_year,Maximum_rain_per_minute,Maximum_temperature,Minimum_temperature,Minimum_pressure,Maximum_pressure,Maximum_windspeed,Maximum_gust_speed,Maximum_humidity,Minimum_humidity,Maximum_heat_index
23,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
24,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
25,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
26,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
27,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
28,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
29,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
30,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
31,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
32,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
33,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
34,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
35,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
36,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
37,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
38,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
39,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
40,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
41,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
42,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
43,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
44,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
45,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
46,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
47,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
48,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
49,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
50,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
51,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
52,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
53,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
54,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
55,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
56,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
57,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
58,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
59,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
60,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
61,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
62,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
63,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
64,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
65,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
66,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
67,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
68,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
69,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
70,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
71,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
72,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
73,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
74,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
75,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
76,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
77,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
78,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
79,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
80,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
81,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
82,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
83,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
84,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
85,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
86,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
87,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
88,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
89,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
90,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
91,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
92,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
93,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
94,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
95,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
96,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
97,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
98,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
99,2001,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
100,2001,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
101,2001,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
102,2001,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
103,2001,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
104,2001,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
105,2001,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
106,2001,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
107,2001,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
108,2002,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
109,2002,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
110,2002,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
111,2002,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
112,2002,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
113,2002,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
114,2002,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
115,2002,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
116,2002,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
117,2002,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
118,2002,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
119,2002,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
120,2002,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
121,2002,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
122,2002,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
123,2002,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
124,2002,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
125,2002,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
126,2002,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
127,2002,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
128,2002,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
129,2002,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
130,2002,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
131,2002,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
132,2002,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
133,2002,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
134,2002,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
135,2002,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
136,2002,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
137,2002,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
138,2002,Apr 4,45.9°F,44%,21.7°F,29.9,3.9,5.9,241°,0.00,1.38,0.00,66.2°F,25.3°F,75%,15%,30.010,29.778,17.3,24.2,66.2°F
139,2002,Apr 5,46.4°F,41%,16.4°F,29.6,4.4,6.6,219°,0.00,1.38,0.00,66.2°F,26.1°F,83%,10%,29.787,29.405,18.4,28.8,66.2°F
140,2002,Apr 6,37.9°F,48%,19.3°F,29.5,7.0,10.7,253°,0.00,1.38,0.00,54.1°F,28.8°F,68%,29%,29.765,29.305,21.9,32.2,54.1°F
141,2002,Apr 7,41.0°F,39%,17.4°F,29.8,10.7,16.3,241°,0.00,1.38,0.00,49.0°F,31.7°F,52%,27%,29.834,29.718,25.3,34.5,49.0°F
142,2002,Apr 8,47.6°F,23%,10.9°F,29.6,8.0,12.8,250°,0.00,1.38,0.00,58.2°F,34.3°F,38%,15%,29.733,29.463,21.9,32.2,58.2°F
143,2002,Average and,44.1°F,35%,14.1°F,29.790,6.7,10.1,240°,0.000,1.382,0.000,66.6°F,19.7°F,83%,6%,30.36,29.30,25.3,34.5,66.6°F
144,2002,Apr 1,41.4°F,28%,5.3°F,30.1,7.5,10.7,240°,0.00,1.38,0.00,58.0°F,19.7°F,72%,8%,30.364,29.939,20.7,32.2,58.0°F
145,2002,Apr 2,46.4°F,25%,8.3°F,29.9,7.4,10.4,235°,0.00,1.38,0.00,63.8°F,27.0°F,55%,8%,29.982,29.850,24.2,33.4,63.8°F
146,2002,Apr 3,46.1°F,36%,13.8°F,30.0,4.8,6.8,233°,0.00,1.38,0.00,66.6°F,23.3°F,71%,6%,30.046,29.927,17.3,23.0,66.6°F
